[-0.009178628213703632, 0.0030925136525183916]
[-0.010482520796358585, 0.0033982228487730026]
[-0.007259771693497896, 0.0031120874918997288]
[-0.010008965618908405, 0.0028700826223939657]
[-0.01154814288020134, 0.0031492807902395725]
[-0.009798254817724228, 0.003240797435864806]
[-0.009548267349600792, 0.0024389263708144426]
[-0.009362501092255116, 0.0033452054485678673]
[-0.00939902663230896, 0.003010718384757638]
[-0.00991588830947876, 0.0024405831936746836]
[-0.012018609791994095, 0.002885763067752123]
[-0.009898880496621132, 0.002916855737566948]
[-0.009793063625693321, 0.0026482725515961647]
[-0.00971424113959074, 0.0029787635430693626]
[-0.00943837035447359, 0.0018045308534055948]
[-0.009635779075324535, 0.002711326815187931]
[-0.011274762451648712, 0.0029002383816987276]
[-0.009177792817354202, 0.0034119426272809505]
[-0.008265620097517967, 0.0029469472356140614]
[-0.010386064648628235, 0.0029995404183864594]
[-0.009673936292529106, 0.003144277958199382]
[-0.008051525801420212, 0.003167033428326249]
[-0.008566192351281643, 0.00368322292342782]
[-0.008555971086025238, 0.0030877282842993736]
[-0.010721484199166298, 0.003039365401491523]
[-0.00891702901571989, 0.0027314850594848394]
[-0.012737633660435677, 0.002679406898096204]
[-0.012207366526126862, 0.002545752329751849]
[-0.010887792333960533, 0.003561275778338313]
[-0.01050789374858141, 0.0036194087006151676]
[-0.012318529188632965, 0.003261551959440112]
[-0.014209108427166939, 0.0034249015152454376]
[-0.011451320722699165, 0.002866118447855115]
[-0.01472821831703186, 0.0033040845301002264]
[-0.014462525025010109, 0.002701039193198085]
[-0.013764400035142899, 0.0034142883960157633]
[-0.015025122091174126, 0.002065385924652219]
[-0.015541108325123787, 0.0022669986356049776]
[-0.013885270804166794, 0.0021138545125722885]
[-0.019331272691488266, 0.001931208185851574]
[-0.01677200384438038, 0.0021560019813477993]
[-0.017155006527900696, 0.002166148740798235]
[-0.015774961560964584, 0.002540897112339735]
[-0.015293313190340996, 0.001464006956666708]
[-0.016520366072654724, 0.0018379418179392815]
[-0.01740298420190811, 0.001965838484466076]
[-0.017829038202762604, 0.001837384537793696]
[-0.01756388694047928, 0.00234380760230124]
[-0.018638018518686295, 0.0009670779691077769]
[-0.018857881426811218, 0.0008572125807404518]
[-0.01876094378530979, 0.0008046155562624335]
[-0.01790003292262554, 0.0013299479614943266]
[-0.016930734738707542, -0.000583303568419069]
[-0.020763516426086426, -0.000512235623318702]
[-0.021813349798321724, -0.0008521726122125983]
[-0.019375281408429146, -0.0007843525963835418]
